timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
141573687,141573059,6684682,1999.1115,1.9522573,nan,nan,nan,nan,48.5886,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,487.0,529.0,2906.0
141830383,141829813,6684682,1999.1115,1.9522573,nan,nan,nan,nan,162.02951,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,520.0,494.0,2385.0
143113701,143110300,6684682,1999.1115,1.9522573,nan,nan,nan,nan,60.73781,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,812.0,635.0,2332.0
143879315,143877443,6684682,1999.1115,1.9522573,42.94966,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,604.0,482.0,2360.0
145162894,145159444,6684682,1999.1115,1.9522573,36.875057,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,652.0,530.0,1963.0
145545683,145543752,6684682,1999.1115,1.9522573,35.306633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,639.0,508.0,2113.0
145932908,145929560,6684682,1999.1115,1.9522573,nan,nan,nan,nan,191.37581,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,nan,nan,nan,nan,nan,nan,nan,17879.0,2197.0,3397.0
146059492,146058663,6684682,1999.1115,1.9522573,nan,nan,nan,nan,nan,nan,nan,nan,32.88838,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.0,nan,nan,nan,37990.0,6456.0,3421.0
146441833,146439969,6684682,1999.1115,1.9522573,152.70305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2577.0,7675.0,1152.0
146568276,146567571,6684682,1999.1115,1.9522573,154.41927,155.75215,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,53.0,45.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1149.0,1917.0,1812.0
